螟沥家疙,斥/岿/老,雀瞒,荐缴(m),荐柯(∩),DO(Х/L),BOD(Х/L),COD(Х/L),努肺肺鞘 a(Х/З),TN(Х/L),TP(Х/L),TOC(Х/L),荐家捞柯丑档,其愁幅(Х/L),傈扁傈档档(レS/Н),醚措厘闭焙荐(醚措厘闭焙荐/100ml),墨靛古(Х/L),矫救(Х/L),吵(Х/L),6啊农芬(Х/L),厚家(Х/L),荐篮(Х/L),备府(Х/L),酒楷(Х/L),农芬(Х/L),聪奶(Х/L),官俘(Х/L),伎饭唇(Х/L),侩粮醚龙家(Х/L),鞠葛聪酒己 龙家(Х/L),龙魂己 龙家(Х/L),侩粮醚牢(Х/L),牢魂堪牢(Х/L),SS(Х/L),琼荤努肺肺亥哩 (Ф/L),盒盔己措厘闭焙荐,阂家(Х/L),祸档(Х/L),畴富琼魂眠免拱龙(Х/L),侩秦己噶埃(Х/L),侩秦己枚(Х/L),澜捞柯拌搁劝己力(Х/L),飘府努肺肺俊瓶坊 (Х/L),抛飘扼努肺肺俊瓶坊(Х/L),荤堪拳藕家,1.2-叼努肺肺俊藕(Х/L),叼努肺肺皋藕(Х/L),亥哩(Х/L),弃府农肺府匙捞萍飘厚其匆(Х/L),蜡扁牢(Х/L),救萍阁 (Х/L),努肺肺器抚 (Х/L),叼俊瓶琼角橇呕饭捞飘 (Х/L),1.4-促捞苛技牢 (Х/L),捧疙档(m),蜡樊(З/s),器抚舅单洒靛(Х/L)
林鞠达,2007-12-27,6雀瞒,102.4,9,6,0.5,2.5,2.1,2.48,0.011,,6.8,0,45,33,,,,,,,,,,,,,1.488,0.089,0.869,0.007,0.005,2.5,,2,,,,,,,,,,,,,,,,,,,2.5,,
林鞠达,2008-01-03,1雀瞒,102.2,8,9.6,0.6,2.5,1.8,1.968,0.012,,6.8,0,40,32,,,,,,,,,,,,,1.408,0.089,0.823,0.007,0.003,2.2,,1,,,,,,,,,,,,,,,,,,,1.9,,
林鞠达,2008-01-09,2雀瞒,102.1,8,8.9,0.8,2.7,2.1,2.336,0.008,,6.9,0,38,40,0,0,0,0,0,0,,,,,,,1.504,0.04,0.905,0.005,0.003,2.1,,1,,,,,,0,,,,,,,,,,,,,1.8,,
林鞠达,2008-01-17,3雀瞒,102.1,7,9,0.9,3,2.2,1.6,0.009,,6.9,0,37,62,,,,,,,,,,,,,0.976,0.015,0.816,0.005,0.003,2.2,,0,,,,,,,,,,,,,,,,,,,1.8,,
林鞠达,2008-01-23,4雀瞒,102,7,9.2,0.5,2.5,2.5,1.44,0.009,,6.9,0,37,59,,,,,,,,,,,,,1.152,0.016,0.956,0.005,0.003,1.7,,3,,,,,,,,,,,,,,,,,,,2.1,,
林鞠达,2008-01-30,5雀瞒,101.8,6,11.4,0.4,2.4,2.5,1.248,0.009,,6.9,0,37,46,,,,,,,,,,,,,1.024,0.014,0.651,0.006,0.002,2.1,,1,,,,,,,,,,,,,,,,,,,2,,
林鞠达,2008-02-04,1雀瞒,101.7,6,10,0.4,2.4,2.2,1.952,0.008,,6.5,0,37,30,,,,,,,,,,,,,1.568,0.007,1.202,0.004,0.002,1.6,,2,,,,,,,,,,,,,,,,,,,2.1,,
林鞠达,2008-02-13,2雀瞒,101.3,5,9.7,0.4,2.6,2.5,1.504,0.012,,6.6,0,36,25,0,0,0,0,0,0,,,,,,,1.28,0.021,1.2,0.007,0.002,2.1,,2,,,,,,,,,,,,,,,,,,,2.3,,
林鞠达,2008-02-20,3雀瞒,101.1,5,10,0.4,2.3,3.1,1.888,0.008,,6.9,0,36,19,,,,,,,,,,,,,1.52,0.018,1.216,0.006,0.002,2.3,,5,,,,,,,,,,,,,,,,,,,2.2,,
林鞠达,2008-02-27,4雀瞒,100.9,5,10.8,0.4,2.7,3.3,1.488,0.011,,6.7,0,36,12,,,,,,,,,,,,,1.36,0.014,1.301,0.006,0.003,1.9,,5,,,,,,,,,,,,,,,,,,,2.2,,
林鞠达,2008-03-05,1雀瞒,100.7,5,9.8,0.5,2.5,3.2,0.992,0.008,,6.9,0,36,6,,,,,,,,,,,,,0.752,0.016,0.523,0.005,0.002,1.6,,4,,,,,,,,,,,,,,,,,,,2.2,,
林鞠达,2008-03-12,2雀瞒,100.4,6,9.7,0.4,2.6,3.5,0.768,0.004,,7,0,36,21,0,0,0,0,0,0,,,,,,,0.64,0.014,0.536,0.002,0.001,1.9,,3,,,,,,0,0,0,0,0,0,0,,,,0.012,,,2.5,,
林鞠达,2008-03-19,3雀瞒,100.6,6,9.2,0.4,2.5,3.6,0.992,0.005,,7,0,36,19,,,,,,,,,,,,,0.88,0.026,0.535,0.003,0.002,1.5,,3,,,,,,,,,,,,,,,,,,,3.5,,
林鞠达,2008-03-26,4雀瞒,99.8,7,9.7,0.4,2.7,3.1,0.992,0.004,,7,0,36,12,,,,,,,,,,,,,0.736,0.023,0.473,0.002,0.002,1.3,,2,,,,,,,,,,,,,,,,,,,2.8,,
林鞠达,2008-04-02,1雀瞒,99.6,7,8.9,0.4,2.3,3.7,1.024,0.011,1.6,7,0,36,10,0,0,0,0,0,0,,,,,,,0.912,0.015,0.716,0.005,0.002,1.5,,1,,,,,,0,,,,,,,,,,,,,,,
林鞠达,2008-04-10,2雀瞒,99.3,7,8.4,0.5,2.1,2.4,1.328,0.011,1.5,7,0,37,13,,,,,,,,,,,,,1.088,0.029,0.704,0.006,0.002,1.4,,2,,,,,,,,,,,,,,,,,,,,,
林鞠达,2008-04-16,3雀瞒,99.2,9,9.5,1,2.8,2.8,0.848,0.005,1.4,7.1,0,37,18,,,,,,,,,,,,,0.784,0.037,0.692,0.002,0.002,0.6,,3,,,,,,,,,,,,,,,,,,,,,
林鞠达,2008-04-23,4雀瞒,98.9,9,7.7,0.9,3.5,3.6,0.992,0.006,1.4,7.1,0,38,20,,,,,,,,,,,,,0.672,0.027,0.61,0.003,0.001,0.9,,3,,,,,,,,,,,,,,,,,,,,,
林鞠达,2008-04-30,5雀瞒,98.5,9,9.4,1.2,2.5,2.2,1.152,0.004,1.6,7.1,0,36,20,,,,,,,,,,,,,0.992,0.026,0.52,0.001,0.001,1.3,,2,,,,,,,,,,,,,,,,,,,,,
林鞠达,2008-05-07,1雀瞒,98,10,8.4,0.9,2.9,1.6,0.8,0.009,1.6,7.1,0,36,24,0,0,0,0,0,0,,,,,,,0.704,0.036,0.546,0.004,0.003,1.3,,2,,,,,,0,,,,,,,,,,,,,,,
林鞠达,2008-05-14,2雀瞒,97.5,10,8.3,0.7,2.7,1.2,1.088,0.012,1.5,7,0,35,33,,,,,,,,,,,,,0.768,0.023,0.528,0.005,0.004,0.9,,2,,,,,,,,,,,,,,,,,,,,,
林鞠达,2008-05-21,3雀瞒,97.1,11,8.2,0.5,2.4,3,0.88,0.009,1.5,7.1,0,36,22,,,,,,,,,,,,,0.8,0.022,0.522,0.003,0.003,1.7,,2,,,,,,,,,,,,,,,,,,,,,
林鞠达,2008-05-29,4雀瞒,97.2,12,8.3,0.8,2.8,2.2,1.088,0.006,1.5,7.2,0,36,18,,,,,,,,,,,,,0.8,0.019,0.507,0.003,0.001,2.3,,2,,,,,,,,,,,,,,,,,,,,,
林鞠达,2008-06-04,1雀瞒,97,12,8.3,0.7,1.7,2.7,0.944,0.006,1.5,7.2,0,36,10,0,0,0,0,0,0,,,,,,,0.72,0.017,0.543,0.003,0.002,1.3,,1,,,,,,0,,,,,,,,,,,,,,,
林鞠达,2008-06-11,2雀瞒,96.9,13,7.9,0.5,2.2,2,1.088,0.008,1.5,7.2,0,36,27,,,,,,,,,,,,,0.848,0.022,0.532,0.004,0.002,1.2,,3,,,,,,,,,,,,,,,,,,,,,
林鞠达,2008-06-19,3雀瞒,97.8,13,8.9,0.6,2.3,2,1.104,0.011,1.5,7.2,0,62,23,,,,,,,,,,,,,0.608,0.014,0.516,0.004,0.003,2.5,,4,,,,,,,,,,,,,,,,,,,,,
林鞠达,2008-06-25,4雀瞒,99.7,13,8.7,0.5,2.1,1.6,0.896,0.007,1.4,7.4,0,60,18,,,,,,,,,,,,,0.784,0.015,0.475,0.003,0.002,0.6,,2,,,,,,,,,,,,,,,,,,,,,
林鞠达,2008-07-02,1雀瞒,100.5,16,7.7,0.6,2.4,2.4,0.736,0.007,1.4,7.4,0,62,22,,,,,,,,,,,,,0.608,0.024,0.46,0.003,0.002,0.9,,2,,,,,,,,,,,,,,,,,,,,,
林鞠达,2008-07-09,2雀瞒,101.9,18,6.6,0.5,2.4,1.9,1.28,0.007,1.4,7.2,0,61,23,0,0,0,0,0,0,,,,,,,1.104,0.018,0.535,0.004,0.003,0.9,,1,,,,,,0,,,,,,,0,0,,,,,,,
林鞠达,2008-07-17,3雀瞒,101.4,18,6.1,0.6,2.5,2.6,1.12,0.007,1.4,7.3,0,65,16,,,,,,,,,,,,,0.848,0.01,0.526,0.003,0.003,1,,0,,,,,,,,,,,,,,,,,,,,,
林鞠达,2008-07-23,4雀瞒,101.1,18,5.9,0.6,1.9,1.7,1.136,0.006,1.6,6.9,0,63,23,,,,,,,,,,,,,0.8,0.022,0.506,0.003,0.001,1.3,,3,,,,,,,,,,,,,,,,,,,,,
林鞠达,2008-07-30,5雀瞒,100.5,18,5.6,0.9,2.9,1.6,1.152,0.009,1.5,6.8,0,65,13,,,,,,,,,,,,,0.992,0.019,0.557,0.005,0.002,1.3,,1,,,,,,,,,,,,,,,,,,,,,
林鞠达,2008-08-08,1雀瞒,99.7,19,5.4,0.5,1.9,1,1.232,0.007,1.6,6.9,0,65,9,0,0,0,0,0,0,,,,,,,0.864,0.008,0.59,0.003,0.001,0.4,,1,,,,,,0,,,,,,,,,,,,,,,
林鞠达,2008-08-13,2雀瞒,99.6,18,5.3,0.3,2.7,1.5,1.072,0.009,1.7,6.9,0,64,15,,,,,,,,,,,,,0.944,0.013,0.678,0.006,0.001,2.1,,3,,,,,,,,,,,,,,,,,,,,,
林鞠达,2008-08-20,3雀瞒,99.4,18,5,0.5,2.9,1.2,0.896,0.008,1.6,7,0,64,21,,,,,,,,,,,,,0.736,0.009,0.59,0.005,0.002,1.8,,1,,,,,,,,,,,,,,,,,,,,,
林鞠达,2008-08-27,4雀瞒,99,18,5.1,0.2,2.7,1.5,1.328,0.007,1.6,6.8,0,64,14,,,,,,,,,,,,,1.12,0.004,0.544,0.003,0.003,1.7,,0,,,,,,,,,,,,,,,,,,,,,
林鞠达,2008-09-03,1雀瞒,98.6,17,4.7,0.5,2.6,1.2,0.912,0.009,1.6,6.7,0,65,9,0,0,0,0,0,0,,,,,,,0.72,0.02,0.603,0.006,0.002,1.3,,0,,,,,,0,0,0,0,0,0,0,,,,0,,,,,
林鞠达,2008-09-09,2雀瞒,98.3,18,4.8,0.5,3,1.8,1.12,0.011,2.1,6.8,0,64,9,,,,,,,,,,,,,1.072,0.026,0.589,0.006,0.001,1.5,,0,,,,,,,,,,,,,,,,,,,,,
林鞠达,2008-09-16,3雀瞒,97.9,17,4.4,0.3,3.4,1.7,1.456,0.004,1.7,6.8,0,65,3,,,,,,,,,,,,,1.152,0.025,1,0.002,0.002,1.2,,0,,,,,,,,,,,,,,,,,,,,,
林鞠达,2008-09-23,4雀瞒,97.6,17,4.2,0.5,2.2,2.1,1.264,0.006,1.6,6.5,0,66,3,,,,,,,,,,,,,0.992,0.024,0.495,0.002,0.002,0.7,,0,,,,,,,,,,,,,,,,,,,,,
林鞠达,2008-10-01,1雀瞒,97.2,16,4.2,0.5,2.7,1.8,1.36,0.006,1.6,6.4,0,67,21,0,0,0,0,0,0,,,,,,,0.864,0.026,0.552,0.003,0.002,1.3,,2,,,,,,0,,,,,,,,,,,,,,,
林鞠达,2008-10-08,2雀瞒,96.8,16,4.2,0.4,2.4,1.3,1.355,0.007,1.5,6.2,0,67,17,,,,,,,,,,,,,1.021,0.028,0.52,0.003,0.002,0.8,,0,,,,,,,,,,,,,,,,,,,,,
林鞠达,2008-10-15,3雀瞒,96.5,15,4.7,0.7,2.8,2.7,1.098,0.013,1.7,6.3,0,68,4,,,,,,,,,,,,,0.739,0.026,0.509,0.008,0.002,1.5,,1,,,,,,,,,,,,,,,,,,,,,
林鞠达,2008-10-22,4雀瞒,96.2,15,3.9,0.5,2.8,2.3,0.709,0.011,1.5,6.4,0,68,9,,,,,,,,,,,,,0.546,0.027,0.421,0.006,0.003,1.1,,1,,,,,,,,,,,,,,,,,,,,,
林鞠达,2008-10-29,5雀瞒,96,15,6,0.6,1.4,2.1,0.745,0.009,1.6,6.6,0,67,24,,,,,,,,,,,,,0.573,0.043,0.419,0.005,0.002,1.4,,1,,,,,,,,,,,,,,,,,,,,,
林鞠达,2008-11-05,1雀瞒,95.7,14,6.2,0.6,2.4,2.3,0.902,0.005,1.7,6.4,0,67,22,0,0,0,0,0,0,,,,,,,0.647,0.099,0.412,0.003,0.003,1.9,,0,,,,,,0,,,,,,,,,,,,,,,
林鞠达,2008-11-12,2雀瞒,95.5,13,4.6,0.7,2.9,2.2,0.479,0.007,2,6.5,0,70,25,,,,,,,,,,,,,0.455,0.055,0.378,0.002,0.002,1.9,,1,,,,,,,,,,,,,,,,,,,,,
林鞠达,2008-11-20,3雀瞒,95.2,12,5,0.6,2,1.4,0.453,0.005,1.6,6.4,0,69,18,,,,,,,,,,,,,0.43,0.053,0.372,0.004,0.004,2.1,,1,,,,,,,,,,,,,,,,,,,,,
林鞠达,2008-11-27,4雀瞒,95,11,5.2,0.5,2.9,2.7,0.942,0.008,1.6,6.5,0,70,15,,,,,,,,,,,,,0.443,0.089,0.312,0.004,0.002,1.7,,1,,,,,,,,,,,,,,,,,,,,,
林鞠达,2008-12-04,1雀瞒,94.8,10,5.8,0.7,3.2,2.4,1.17,0.009,1.6,6.6,0,70,28,0,0,0,0,0,0,,,,,,,1.008,0.067,0.343,0.003,0,1.2,,5,,,,,,0,,,,,,,,,,,,,,,
林鞠达,2008-12-09,2雀瞒,94.6,9,5,0.4,3.4,1.7,0.635,0.007,1.5,6.6,0,71,35,,,,,,,,,,,,,0.491,0.104,0.325,0.002,0.002,1.8,,4,,,,,,,,,,,,,,,,,,,,,
林鞠达,2008-12-18,3雀瞒,94.3,8,5.2,0.5,3.6,1.6,0.853,0.007,1.5,6.4,0,71,17,,,,,,,,,,,,,0.693,0.094,0.34,0.002,0,1.3,,3,,,,,,,,,,,,,,,,,,,,,
林鞠达,2008-12-23,4雀瞒,94.1,8,4.8,0.6,3.4,1.9,1.051,0.016,1.4,6.2,0,70,22,,,,,,,,,,,,,0.627,0.086,0.368,0.009,0.001,3.1,,4,,,,,,,,,,,,,,,,,,,,,
林鞠达,2009-01-02,1雀瞒,93.6,6,7.5,0.5,2.6,1.9,0.629,0.01,1.5,6.2,0,70,14,,,,,,,,,,,,,0.614,0.085,0.29,0.006,0.004,2.1,,2,,,,,,,,,,,,,,,,,,,,,
林鞠达,2009-01-07,2雀瞒,93.4,6,8.2,0.8,2.6,0.7,0.642,0.01,1.4,6.6,0,69,7,,,,,,,,,,,,,0.632,0.082,0.298,0.007,0.004,1.6,,6,,,,,,,,,,,,,,,,,,,,,
林鞠达,2009-01-14,3雀瞒,93.1,5,8.7,0.7,2.8,0.7,0.63,0.01,1.5,6.5,0,70,2,0,0,0,0,0,0,,,,,,,0.59,0.023,0.329,0.004,0.004,1.1,,2,,,,,,0,,,,,,,,,,,,,,,
林鞠达,2009-01-21,4雀瞒,92.7,5,9.1,0.5,2.5,1.1,0.661,0.01,1.5,6.6,0,70,3,,,,,,,,,,,,,0.59,0.052,0.347,0.004,0.004,1.4,,1,,,,,,,,,,,,,,,,,,,,,
林鞠达,2009-01-29,5雀瞒,92.3,4,9.2,0.4,2.6,0.7,0.652,0.01,1.5,6.8,0,70,1,,,,,,,,,,,,,0.62,0.027,0.308,0.004,0.003,1.4,,1,,,,,,,,,,,,,,,,,,,,,
林鞠达,2009-02-04,1雀瞒,92.1,4,10.2,0.6,2.6,1.2,0.588,0.005,1.6,6.5,0,71,9,,,,,,,,,,,,,0.572,0.045,0.327,0,0,0.7,,0,,,,,,,,,,,,,,,,,,,,,
林鞠达,2009-02-11,2雀瞒,91.7,4,10.2,0.6,1.8,1.2,0.615,0.009,1.6,6.6,0,72,4,0,0,0,0,0,0,,,,,,,0.577,0.066,0.293,0.004,0.001,1.4,,0,,,,,,0,,,,,,,,,,,,,,,
林鞠达,2009-02-18,3雀瞒,91.5,5,11,0.5,2,1.5,0.589,0.011,1.9,6.7,0,72,6,,,,,,,,,,,,,0.553,0.062,0.284,0.004,0.001,2.1,,2,,,,,,,,,,,,,,,,,,,,,
林鞠达,2009-02-26,4雀瞒,91.2,5,11.3,0.4,3.8,1.2,0.584,0.012,1.5,6.6,0,72,2,,,,,,,,,,,,,0.563,0.068,0.285,0.006,0.002,1,,1,,,,,,,,,,,,,,,,,,,,,
林鞠达,2009-03-04,1雀瞒,90.1,5,10.9,0.6,2.4,1.4,0.561,0.012,1.7,6.9,0,74,4,0,0,0,0,0,0,,,,,,,0.536,0.093,0.276,0.006,0.002,1.1,,2,,,,,,0,,,,,,,,,,,,,,,
林鞠达,2009-03-11,2雀瞒,90.6,5,10.6,0.6,2.8,2,0.578,0.009,1.6,6.6,0,73,6,,,,,,,,,,,,,0.556,0.084,0.276,0.003,0.002,0.8,,1,,,,,,,,,,,,,,,,,,,,,
林鞠达,2009-03-18,3雀瞒,90.4,7,11.6,0.6,2.5,2.5,0.525,0.01,1.6,6.8,0,74,9,,,,,,,,,,,,,0.506,0.075,0.267,0.004,0.002,1.2,,5,,,,,,,,,,,,,,,,,,,,,
林鞠达,2009-03-25,4雀瞒,90.1,6,11.2,0.7,3.5,1.9,0.574,0.011,1.5,6.4,0,74,4,,,,,,,,,,,,,0.543,0.078,0.263,0.006,0.002,0.6,,2,,,,,,,,,,,,,,,,,,,,,
林鞠达,2009-04-01,1雀瞒,89.7,8,11.3,0.8,3.2,4,0.626,0.009,1.7,7.1,0,80,6,,,,,,,,,,,,,0.582,0.075,0.262,0.003,0.001,1,,3,,,,,,,,,,,,,,,,,,,,,
林鞠达,2009-04-08,2雀瞒,89.3,8,12.4,0.7,3,5.2,0.59,0.006,1.8,6.9,0,75,7,0,0,0,0,0,0,,,,,,,0.561,0.069,0.25,0.006,0,1,,2,,,,,,0,,,,,,,,,,,,,,,
林鞠达,2009-04-15,3雀瞒,88.9,11,12.3,0.8,3.3,4.2,0.579,0.011,1.8,7.2,0,79,9,,,,,,,,,,,,,0.533,0.066,0.225,0.003,0,0.5,,3,,,,,,,,,,,,,,,,,,,,,
林鞠达,2009-04-22,4雀瞒,89,10,11.2,1,3.1,3.5,0.525,0.012,1.8,7.2,0,78,29,,,,,,,,,,,,,0.48,0.078,0.242,0.005,0.001,18.8,,17,,,,,,,,,,,,,,,,,,,,,
林鞠达,2009-04-29,5雀瞒,88.8,10,9.1,1,2.7,2.9,0.545,0.01,1.8,6.7,0,80,13,,,,,,,,,,,,,0.527,0.091,0.245,0.003,0.001,0.6,,5,,,,,,,,,,,,,,,,,,,,,
林鞠达,2009-05-06,1雀瞒,88.4,11,9.9,0.8,2.9,1.5,0.578,0.014,1.7,7,0,83,24,,,,,,,,,,,,,0.56,0.053,0.236,0.008,0,0.3,,5,,,,,,,,,,,,,,,,,,,,,
林鞠达,2009-05-14,2雀瞒,87.8,11,9.6,0.6,2.5,1.2,0.56,0.013,1.7,6.5,0,81,119,0,0,0,0,0,0,,,,,,,0.519,0.055,0.26,0.007,0.001,0.7,,4,,,,,,0,,,,,,,,,,,,,,,
林鞠达,2009-05-20,3雀瞒,87.5,12,9.6,0.5,2.4,1.4,0.564,0.014,1.8,6.7,0,79,267,,,,,,,,,,,,,0.542,0.054,0.296,0.004,0.001,2.2,,5,,,,,,,,,,,,,,,,,,,,,
林鞠达,2009-05-26,4雀瞒,88.1,12,8.7,0.7,2.7,0.8,0.563,0.013,1.7,6.8,0,83,62,,,,,,,,,,,,,0.545,0.057,0.319,0.006,0.001,1.8,,1,,,,,,,,,,,,,,,,,,,,,
林鞠达,2009-06-03,1雀瞒,87.6,12,7.1,0.7,2.7,2.1,0.569,0.014,1.5,6.6,0,81,157,0,0,0,0,0,0,,,,,,,0.558,0.041,0.314,0.009,0.001,1.4,,6,,,,,,0,,,,,,,,,,,,,,,
林鞠达,2009-06-09,2雀瞒,87.2,13,6.2,0.6,3.2,1.5,0.597,0.008,1.5,6.8,0,120,387,,,,,,,,,,,,,0.572,0.041,0.321,0.005,0,1.6,,5,,,,,,,,,,,,,,,,,,,,,
林鞠达,2009-06-16,3雀瞒,86.7,14,7,0.7,2.6,1.7,0.666,0.012,1.5,6.7,0,82,237,,,,,,,,,,,,,0.645,0.052,0.331,0.004,0.001,1,,11,,,,,,,,,,,,,,,,,,,,,
林鞠达,2009-06-24,4雀瞒,88.6,14,6.9,0.8,3.1,1.2,0.681,0.023,1.4,6.6,0,84,362,,,,,,,,,,,,,0.656,0.043,0.35,0.011,0.001,1.4,,7,,,,,,,,,,,,,,,,,,,,,
林鞠达,2009-07-01,1雀瞒,86.6,14,6.4,0.5,2.8,0.7,0.649,0.019,1.9,6.6,0,84,377,,,,,,,,,,,,,0.603,0.051,0.374,0.006,0.001,1.4,,11,,,,,,,,,,,,,,,,,,,,,
林鞠达,2009-07-09,2雀瞒,94.3,17,7.1,1.1,3.2,2.6,0.944,0.067,2.6,6.5,0,77,490,,,,,,,,,,,,,0.854,0.131,0.478,0.011,0.002,19,,38,,,,,,,,,,,,,,,,,,,,,
林鞠达,2009-07-16,3雀瞒,105.1,17,6.5,0.8,4.1,2.6,1.02,0.049,2.1,6.3,0,71,1063,,,,,,,,,,,,,0.996,0.149,0.535,0.018,0.009,15,,23,,,,,,,,,,,,,,,,,,,,,
林鞠达,2009-07-22,4雀瞒,104,17,7,1.1,3.8,2.9,1.049,0.048,2.3,6.2,0,63,1000,0,0,0,0,0,0,,,,,,,1,0.053,0.597,0.018,0.01,4.4,,29,,,,,,0,,,,,,,0,0,,,,,,,
林鞠达,2009-07-29,5雀瞒,103,18,6.6,1,2.7,3.7,1.024,0.042,2.3,6.9,0,62,4667,,,,,,,,,,,,,0.968,0.045,0.662,0.021,0.012,7.2,,49,,,,,,,,,,,,,,,,,,,,,
林鞠达,2009-08-05,1雀瞒,103.6,19,7.3,0.9,2.5,3.2,0.876,0.028,2,7.1,,64,767,,,,,,,,,,,,,0.858,0.036,0.687,0.018,0.009,4,,3,,,,,,,,,,,,,,,,,,,,,
林鞠达,2009-08-11,2雀瞒,102.1,19,6.8,1.2,3.5,10,0.941,0.036,2.3,7.3,0,65,1800,,,,,,,,,,,,,0.867,0.051,0.514,0.02,0.01,3.6,,6,,,,,,,,,,,,,,,,,,,,,
林鞠达,2009-08-18,3雀瞒,103.5,19,8.4,1.2,3.6,8,0.974,0.025,3.1,7.2,,68,447,,,,,,,,,,,,,0.826,0.048,0.474,0.011,0.004,2.8,,3,,,,,,,,,,,,,,,,,,,,,
林鞠达,2009-08-25,4雀瞒,103.1,19,6.3,1,4.1,10.6,1.001,0.034,3,7.1,,68,1047,,,,,,,,,,,,,0.862,0.051,0.454,0.019,0.009,4.2,,2,,,,,,,,,,,,,,,,,,,,,
林鞠达,2009-09-01,1雀瞒,102.8,18,5.9,1.4,3.4,17,0.93,0.038,3,7.2,0,67,997,,,,,,,,,,,,,0.772,0.043,0.389,0.013,0.006,6.1,,8,,,,,,,,,,,,,,,,,,,,,
林鞠达,2009-09-08,2雀瞒,102.4,18,5.4,1.1,3.9,12.2,0.916,0.03,3,7.1,0,67,703,0,0,0,0,0,0,,,,,,,0.688,0.092,0.341,0.01,0.002,3.9,,3,,,,,,0,,,0,0,0,0,,,,0,,,,,
林鞠达,2009-09-17,3雀瞒,101.8,18,4.8,1.1,4.6,11.1,1.034,0.042,2.9,7,0,66,96,,,,,,,,,,,,,0.854,0.111,0.39,0.007,0.003,4.1,,2,,,,,,,,,,,,,,,,,,,,,
林鞠达,2009-09-24,4雀瞒,101.5,18,3.1,1,3.4,1.3,0.921,0.017,2.2,6.3,0,65,883,,,,,,,,,,,,,0.881,0.15,0.457,0.008,0.002,1.9,,1,,,,,,,,,,,,,,,,,,,,,
林鞠达,2009-09-30,5雀瞒,101.3,18,3.1,1,3.4,2.7,0.916,0.021,2.2,6.4,0,67,1490,,,,,,,,,,,,,0.913,0.131,0.481,0.011,0.005,2.3,,11,,,,,,,,,,,,,,,,,,,,,
林鞠达,2009-10-06,1雀瞒,101.2,17,2.8,0.7,2.7,1.6,1.149,0.015,2.2,6.2,0,66,1213,,,,,,,,,,,,,1.049,0.141,0.497,0.005,0.002,2.5,,3,,,,,,,,,,,,,,,,,,,,,
林鞠达,2009-10-15,2雀瞒,100.9,17,3.1,0.7,3.1,2.4,1.054,0.019,2,6.3,0,75,693,0,0,0,0,0,0,,,,,,,0.857,0.139,0.423,0.006,0.001,3.1,,1,,,,,,0,,,,,,,,,,,,,,,
林鞠达,2009-10-22,3雀瞒,100.7,16,4.2,0.8,3.3,3.3,0.755,0.016,1.9,6.4,0,84,1033,,,,,,,,,,,,,0.736,0.197,0.299,0.007,0.001,3.9,,2,,,,,,,,,,,,,,,,,,,,,
林鞠达,2009-10-28,4雀瞒,100.5,16,4.2,0.8,3,3.1,0.745,0.021,1.8,6.4,0,72,1080,,,,,,,,,,,,,0.729,0.175,0.347,0.007,0.001,4.1,,2,,,,,,,,,,,,,,,,,,,,,
林鞠达,2009-11-05,1雀瞒,100.3,15,4.5,0.7,2.8,3.4,0.763,0.02,2,6.3,0,76,1500,0,0,0,0,0,0,,,,,,,0.744,0.175,0.297,0.01,0.002,4.5,,1,,,,,,0,,,,,,,,,,,,,,,
林鞠达,2009-11-10,2雀瞒,100.2,14,5.2,1,3.2,3.1,0.685,0.022,2,6.5,0,83,640,,,,,,,,,,,,,0.624,0.171,0.264,0.01,0.002,4.5,,5,,,,,,,,,,,,,,,,,,,,,
林鞠达,2009-11-17,3雀瞒,99.7,13,7.2,0.8,2.8,2.1,0.667,0.015,1.8,6.5,0,82,560,,,,,,,,,,,,,0.638,0.126,0.266,0.007,0.001,2.9,,0,,,,,,,,,,,,,,,,,,,,,
林鞠达,2009-11-25,4雀瞒,99.7,12,6.1,0.9,2.6,2.3,0.678,0.016,1.9,6.4,0,83,307,,,,,,,,,,,,,0.652,0.147,0.274,0.005,0.001,3.3,,0,,,,,,,,,,,,,,,,,,,,,
林鞠达,2009-12-02,1雀瞒,99.5,11,4.6,0.9,2.8,1.9,0.715,0.021,1.9,6.3,0,85,237,,,,,,,,,,,,,0.687,0.221,0.255,0.007,0.001,3.9,,0,,,,,,,,,,,,,,,,,,,,,
林鞠达,2009-12-09,2雀瞒,99.3,10,5.7,0.8,2.7,1.5,0.747,0.017,1.9,6.2,0,89,213,0,0,0,0,0,0,,,,,,,0.677,0.245,0.249,0.009,0.001,4,,0,,,,,,0,,,,,,,,,,,,,,,
林鞠达,2009-12-16,3雀瞒,99.1,9,5.1,0.8,3.1,1.3,0.659,0.016,1.8,6.3,0,85,133,,,,,,,,,,,,,0.627,0.197,0.23,0.005,0,3.7,,0,,,,,,,,,,,,,,,,,,,,,
林鞠达,2009-12-24,4雀瞒,98.8,9,5.1,1,3.6,1.7,0.677,0.01,1.9,6.9,0,93,97,,,,,,,,,,,,,0.665,0.108,0.346,0.003,0.001,2.5,,0,,,,,,,,,,,,,,,,,,,,,
林鞠达,2009-12-30,5雀瞒,98.6,8,8.5,0.9,3,1.1,0.747,0.009,1.8,6.5,0,76,47,,,,,,,,,,,,,0.705,0.109,0.358,0.003,0,2.4,,0,,,,,,,,,,,,,,,,,,,,,
